Linux 5.4.0-164-generic (node-0.load-balance.autondp-pg0.utah.cloudlab.us) 	03/12/2024 	_x86_64_	(32 CPU)

03:43:11 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:48:59 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:49:00 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:49:01 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
03:49:02 PM     all      0.06      0.00      0.06      0.00      0.00     99.88
03:49:03 PM     all      0.47      0.00      0.06      0.00      0.00     99.47
03:49:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:49:05 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:49:06 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:49:07 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:49:08 PM     all      0.66      0.00      0.16      0.00      0.00     99.19
03:49:09 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:49:10 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:49:11 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:49:12 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:49:13 PM     all      0.13      0.00      0.09      0.00      0.00     99.78
03:49:14 PM     all      0.19      0.00      0.03      0.00      0.00     99.78
03:49:15 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:49:16 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:49:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:49:18 PM     all      0.09      0.00      0.09      0.00      0.00     99.81
03:49:19 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:49:20 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
03:49:21 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
03:49:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:49:23 PM     all      0.19      0.00      0.03      0.00      0.00     99.78
03:49:24 PM     all      0.09      0.00      0.03      0.00      0.00     99.88
03:49:25 PM     all      0.03      0.00      0.09      0.00      0.00     99.87
03:49:26 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
03:49:27 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:49:28 PM     all      0.09      0.00      0.06      0.00      0.00     99.84
03:49:29 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:49:30 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
03:49:31 PM     all      0.75      0.00      0.09      0.00      0.00     99.16
03:49:32 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:49:33 PM     all      0.13      0.00      0.03      0.00      0.00     99.84
03:49:34 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:49:35 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:49:36 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
